Date,Time,UserPhone,UserName,MessageBody;
%2019-02-15,%%15:15:25%,%3916658067753117573,%%EMT VALÈNCIA%,%%e2e_notification%%%;
OBJETOS
%2019-02-15,%%15:15:24%,%4593260298304971977,%%Suki%,%%Buenas tardes, me gustaria saber la localización  de objetos perdidos. Creo que perdi mi bonobus en un autobús  y me gustaria saber si esta alli%%%;
%2019-02-15,%%15:15:34%,%4593260298304971977,%%Suki%,%%Fue con la linea 71%%%;
%2019-02-15,%%15:17:30%,%3916658067753117573,%%EMT VALÈNCIA%,%%Hola ¿Cuándo lo perdiste?%%%;
%2019-02-15,%%15:17:51%,%4593260298304971977,%%Suki%,%%La perdi hace media hora%%%;
%2019-02-15,%%15:18:47%,%3916658067753117573,%%EMT VALÈNCIA%,%%Los objetos perdidos tanto de hoy como del fin de semana aparecerán el lunes. Vuelve a contactar con nosotros el lunes a partir de las 11 y comprobaremos si ha aparecido la tarjeta. Un saludo%%%;
%2019-02-15,%%15:19:23%,%4593260298304971977,%%Suki%,%%Gracias, sabes si atencion al cliente  para sacar duplicado, esta por las tardes?%%%;
%2019-02-15,%%15:23:48%,%3916658067753117573,%%EMT VALÈNCIA%,%%¿Qué tipo de título es?%%%;
%2019-02-15,%%15:24:18%,%4593260298304971977,%%Suki%,%%Es un bono mensual A,b,c,d%%%;
%2019-02-15,%%15:24:24%,%4593260298304971977,%%Suki%,%%De metro bus%%%;
%2019-02-15,%%15:27:33%,%3916658067753117573,%%EMT VALÈNCIA%,%%Si es el combinado, tienes que ir a la  empresa que hay situada en la boca de metro de Colón, la ATMV, están de lunes a jueves de 8 a 19 y los viernes de 8 a 14:30. Un saludo!%%%;
%2019-02-18,%%11:45:58%,%4593260298304971977,%%Suki%,%%Buenos dias, me gustaria preguntar por una tarjeta perdida en la linea 71, el viernes  a las 14:30h.%%%;
%2019-02-18,%%11:46:26%,%3916658067753117573,%%EMT VALÈNCIA%,%%Hola, puedes concretar más? Que tipo de tarjeta? Lleva tu nombre?%%%;
%2019-02-18,%%11:46:57%,%4593260298304971977,%%Suki%,%%Es una tarjeta combinado, Metrobus, tiene mi nombre Soukaina ouaoua%%%;
%2019-02-18,%%11:48:24%,%3916658067753117573,%%EMT VALÈNCIA%,%%Lo hemos comprobado y  no la hemos recibido.  Un saludo.%%%;
%2019-02-18,%%11:48:36%,%4593260298304971977,%%Suki%,%%Gracias!%%%;
